ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-1335.2435,1.4935,-569.4602,0
2,1,-1290.2433,1.4935,-753.61334,0
3,1,-1225.5337,1.4935,-655.222,0
4,1,-1093.29,1.4935,-618.70386,0
5,1,-1142.3176,1.4935,-776.4562,0
6,1,-1126.1837,1.4935,-911.9281,0
7,1,-1037.1945,1.4935,-867.48376,0
8,1,-983.58466,1.4935,-942.53796,0
9,1,-840.9615,1.4935,-892.8726,0
10,1,-1097.151,1.4935,-495.33536,0
11,1,569.84045,1.0349,1279.1827,0
12,1,439.67596,1.0349,1382.4348,0
13,1,588.1686,1.0349,1502.1611,0
14,1,542.30615,1.0349,1582.7471,0
15,1,599.32605,1.0349,1401.0828,0
16,1,704.5289,1.0349,1325.4609,0
17,1,799.51965,1.0349,1346.975,0
18,1,925.6645,1.0349,1288.1843,0
19,1,1030.4244,1.0349,1256.2026,0
20,1,1107.407,1.0349,1339.0697,0
21,2,-1268.9982,1.4935,-605.894,0
22,2,-1148.5037,1.4935,-721.6933,0
23,2,-1184.1243,1.4935,-907.238,0
24,2,-900.956,1.4935,-904.36554,0
25,2,-572.8179,1.4935,-859.83344,0
26,2,-489.95874,1.4935,-1037.2354,0
27,2,-1143.8779,1.2381,797.6234,0
28,2,-1297.188,1.2381,680.3004,0
29,2,-172.419,-6.4049,-972.66583,0
30,2,-37.755596,1.4935,-859.5054,0
31,2,-1045.7631,1.2381,599.12946,0
32,2,129.02254,1.4935,-915.5587,0
33,2,270.9735,1.4935,-917.8159,0
34,2,-770.78406,188.255,1269.3054,0
35,2,470.07022,1.4935,-831.44104,0
36,2,-721.189,188.255,1166.9384,0
37,2,465.6361,1.4935,-949.1441,0
38,2,594.79425,1.4935,-898.57416,0
39,2,765.20526,1.4935,-916.6154,0
40,2,-445.6322,113.5992,921.3832,0
41,2,1057.6433,1.4935,-838.549,0
42,2,1128.1768,1.4935,-796.84045,0
43,2,1160.1136,1.0349,-523.0313,0
44,2,1149.4316,1.0349845,-331.003,0
45,2,1300.4347,1.0349,-483.0002,0
46,2,1457.835,1.0349,-392.67517,0
47,2,1495.4702,1.0349,-180.96622,0
48,2,1729.4961,38.690235,-181.7103,0
49,2,1780.4746,64.363235,-229.47948,0
50,2,1355.2119,1.0349,-104.27586,0
51,2,1219.6088,1.1315575,-91.6283,0
52,2,1130.4192,1.0349,-110.96966,0
53,2,-355.78278,113.5992,783.0542,0
54,2,1238.6969,1.9032754,53.35948,0
55,2,1199.3204,1.0349,170.45604,0
56,2,1205.3643,1.0349,307.12408,0
57,2,1267.1161,1.0349,420.48514,0
58,2,1160.6471,1.0349,392.88663,0
59,2,1250.6,1.0349,303.4083,0
60,2,1271.7366,1.0349,561.26764,0
61,2,1229.5704,1.0349,698.47034,0
62,2,1208.4115,1.0349,545.83923,0
63,2,1054.948,1.0349,517.80084,0
64,2,996.52625,1.0349,609.53125,0
65,2,1217.1725,1.0349,823.4888,0
66,2,1271.1436,1.0349,728.2092,0
67,2,1087.1267,1.0349,790.4883,0
68,2,1220.071,1.0349,1052.7494,0
69,2,1150.222,1.0349,1210.3531,0
70,2,1338.0637,1.0349,1275.4026,0
71,2,1039.8302,1.0349,1379.5933,0
72,2,677.2463,1.0349,1281.2823,0
73,2,558.7989,1.0349,1445.1686,0
74,2,863.7486,1.0349,1298.8008,0
75,2,817.8882,16.910315,684.3832,0
76,2,722.55225,36.654163,664.59644,0
77,2,627.4301,54.642826,773.61194,0
78,2,-139.11082,102.5075,396.13306,0
79,2,-207.50786,113.5992,581.3306,0
80,2,255.46576,113.5992,663.15234,0
81,2,242.7316,113.5992,538.74774,0
82,2,137.82932,113.5992,593.95435,0
83,2,26.768433,102.5075,464.76218,0
84,2,135.21274,113.5992,359.97,0
85,2,283.3974,94.05277,285.86206,0
86,2,376.66907,68.5472,300.87515,0
87,2,-857.8015,1.2381,-173.22542,0
88,2,-1006.1124,1.2381,-8.922676,0
89,2,-773.38696,1.2381,-57.71411,0
90,2,-702.84503,1.2381,68.39212,0
91,3,970.8817,1.4935,-800.4553,0
92,3,1115.7118,1.4935,-726.5475,0
93,3,827.1701,1.4935,-860.27124,0
94,3,561.16125,1.4935,-821.9459,0
95,3,494.16785,1.4935,-696.95825,0
96,3,367.6153,1.4935,-748.8164,0
97,3,359.03067,1.4935,-855.01855,0
98,3,439.81894,1.4935,-997.2107,0
99,3,-1.9165668,1.4935,-1025.2363,0
100,3,15.63795,1.4935,-909.3394,0
101,3,-91.1523,1.4935,-948.1828,0
102,3,-168.47208,-1.0213447,-849.6615,0
103,3,-275.7341,-4.1936,-916.78564,0
104,3,-345.0708,1.4935,-894.9543,0
105,3,-301.34894,3.7565317,-1017.5422,0
106,3,-497.024,1.4935,-958.6254,0
107,3,-589.45355,1.4935,-908.1338,0
108,3,-934.96295,1.2381,-148.88812,0
109,3,-827.0523,1.2381,-78.10622,0
110,3,-689.31854,1.2381,-132.46034,0
111,3,-854.68475,1.2381,-251.62698,0
