ClassID,GenType,NPCID,PosX,PosY,PosZ,Direction,Name
1,1,10045,-264.94678,242.4188,-348.9568,-52,돌더미
2,2,0,-227.20992,242.4188,-543.7182,0,돌더미
3,3,0,16.347218,242.4188,-243.13123,0,돌더미
4,1,0,361.54,242.4188,-466.49698,-117,돌더미
5,2,0,266.0987,242.4188,-612.4353,0,돌더미
6,2,0,-885.5775,331.8564,229.94485,0,돌더미
7,1,0,-514.3937,331.8564,552.1394,-56,돌더미
8,3,0,-822.1495,331.85645,22.33638,0,돌더미
9,3,0,-535.8921,331.8564,269.11844,0,돌더미
10,4,0,-723.02014,331.85645,189.75775,0,붉은 인프로 블러드
34,5,0,1614.5642,242.4188,40.794136,60,대성당 대회랑
35,6,0,-576.06573,331.8564,776.1403,79,대성당 대회랑
36,7,0,1055.5696,242.4188,-424.0734,-90,여신 바카리네의 상
37,8,0,1331.5688,242.41881,-129.42331,0,붉은 인프로 호글란
38,8,0,383.1402,242.41881,-382.8172,0,붉은 인프로 호글란
39,8,0,975.52155,242.41881,-709.0862,0,붉은 인프로 호글란
40,8,0,790.7411,242.41881,-456.0045,0,붉은 인프로 호글란
41,8,0,1059.7958,242.41881,-660.5695,0,붉은 인프로 호글란
42,8,0,703.87756,242.41881,-483.08615,0,붉은 인프로 호글란
44,8,0,1291.067,242.41881,-307.6932,0,붉은 인프로 호글란
45,8,0,1495.9191,242.4188,-187.1565,0,붉은 인프로 호글란
48,8,0,472.56332,242.41881,-403.55453,0,붉은 인프로 호글란
49,8,0,1432.4889,242.41881,-514.93024,0,붉은 인프로 호글란
50,11,0,722.8712,242.4188,-445.35574,-40,사제 알리샤
51,12,20156,1374.2482,242.42,-773.2021,53,순례자
54,15,0,-366.22998,331.8564,486.48126,-78,순례자 오빌
55,16,147386,-696.96375,331.8564,593.10944,-94,사제
56,17,47252,-320.46295,242.4188,-615.2558,-40,주교의 무덤
61,23,10021,-246.30852,242.4188,-47.798576,4,주교의 시신
62,24,147398,-470.7903,242.4188,-322.6234,9,사제
63,25,0,1454.1495,242.42,-258.30484,0,달엉겅퀴
64,26,0,1375.7065,242.4188,-94.46993,0,달엉겅퀴
65,25,0,1334.4133,242.42,-249.00514,0,달엉겅퀴
66,26,0,1553.4713,242.42,-351.47284,0,달엉겅퀴
67,26,0,1157.2773,242.4188,-291.41885,0,달엉겅퀴
69,25,0,1509.3442,242.42,-498.34558,0,달엉겅퀴
70,27,0,-214.54453,242.4188,-572.5262,0,
71,28,0,1523.9097,242.4188,-180.4932,0,나무뿌리 수정
72,28,0,1357.4326,242.4188,-514.2827,0,나무뿌리 수정
73,28,0,957.1966,242.4188,-564.70026,0,나무뿌리 수정
74,28,0,1094.8615,242.4188,-696.4164,0,나무뿌리 수정
75,28,0,594.0869,242.4188,-609.62744,0,나무뿌리 수정
76,28,0,237.27522,242.4188,-357.83572,0,나무뿌리 수정
77,28,0,-233.40475,242.4188,-404.60486,0,나무뿌리 수정
78,28,0,7.8986053,242.4188,-158.91,0,나무뿌리 수정
79,28,0,-414.85004,331.8564,294.15433,0,나무뿌리 수정
80,28,0,-727.6111,331.85648,110.67187,0,나무뿌리 수정
81,28,0,-649.51843,331.85645,363.4472,0,나무뿌리 수정
82,28,0,-499.48004,331.8564,613.8515,0,나무뿌리 수정
83,29,0,736.94165,242.4188,-433.93182,0,약이 끓고 있는 솥
84,26,0,1551.1366,242.42,-120.77493,0,달엉겅퀴
85,25,0,1247.0225,242.42,-397.06244,0,달엉겅퀴
86,26,0,1363.1702,242.42,-470.73077,0,달엉겅퀴
87,30,0,-70.991745,242.4188,-553.3052,0,붉은 인프로 블러드
88,31,0,-575.5598,331.85648,86.63588,-136,정화의 제단
89,32,0,32.284084,242.4188,-478.2611,0,정화의 제단
90,33,0,172.44498,242.4188,-169.25098,-154,정화의 제단
91,34,0,289.86157,242.4188,-731.8196,-120,정화의 제단
93,36,0,-62.1,242.52,-331,0,달러스의 시신
94,37,0,1396.6034,242.4188,-744.239,58,사제 알리샤
95,38,0,-386.5267,331.8564,486.66937,-81,달러스의 시신
96,39,0,-105.74,242.52,77.43,0,보물 상자 LV4
97,43,0,-644.38544,331.85648,280.40823,0,베리얼러
98,30,0,-288.37592,242.41881,-275.31366,0,붉은 인프로 블러드
99,30,0,53.648815,242.41881,-242.92209,0,붉은 인프로 블러드
100,30,0,372.13177,242.41881,-508.25238,0,붉은 인프로 블러드
101,30,0,-258.18323,242.41881,-679.49,0,붉은 인프로 블러드
102,43,0,-885.318,331.85645,240.57275,0,베리얼러
103,43,0,-255.6935,242.41881,-20.658106,0,베리얼러
104,43,0,-794.16656,331.85645,52.298744,0,베리얼러
105,43,0,-558.0269,331.85645,648.06683,0,베리얼러
106,43,0,-392.9651,242.41881,-389.957,0,베리얼러
107,43,0,122.76793,242.41881,-190.65895,0,베리얼러
108,44,0,1598.1539,242.41881,-18.496021,0,필드젠x
109,44,0,-590.94025,331.85645,736.30865,0,필드젠x
110,30,0,194.65128,242.41881,-389.3437,0,붉은 인프로 블러드
111,45,0,1752.1511,142.74243,-636.6796,-51,바르하 숲
112,46,0,1697.8143,151.45638,-626.79175,0,FieldCantGen
113,900,0,-1007.17,331.96,339.83,-90,보물 상자 LV1
114,25,0,1222.245,242.42,-143.33151,0,달엉겅퀴
115,26,0,1638.0001,242.42,-254.66267,0,달엉겅퀴
116,8,0,1394.303,242.41881,-224.26617,0,
117,8,0,1450.4712,242.41881,-68.18451,0,
118,8,0,1264.8533,242.41881,-196.6284,0,
119,8,0,1491.8433,242.41881,-364.64865,0,
120,8,0,1323.4723,242.41881,-387.67926,0,
121,8,0,1195.0627,242.41881,-319.5944,0,
122,8,0,1247.5525,242.41881,-736.0549,0,
123,8,0,1134.7665,242.41881,-731.197,0,
124,8,0,1022.1263,242.41881,-561.4367,0,
125,8,0,942.91254,242.41881,-522.7706,0,
126,8,0,852.7415,242.41881,-655.884,0,
127,8,0,865.2277,242.41881,-456.7541,0,
128,8,0,750.3308,242.41881,-683.9512,0,
129,8,0,798.44556,242.41881,-580.4015,0,
130,8,0,991.1814,242.41881,-433.72034,0,
131,8,0,1136.016,242.41881,-481.3983,0,
132,8,0,1189.6644,242.41881,-638.9994,0,
133,8,0,1430.9559,242.41881,-643.41974,0,
134,8,0,1268.0723,242.41881,-536.23303,0,
135,8,0,1089.2697,242.41881,-388.14236,0,
136,8,0,666.8941,242.41881,-667.43976,0,
137,8,0,559.88245,242.41881,-637.67065,0,
138,8,0,563.0218,242.41881,-556.27136,0,
139,8,0,625.76154,242.41881,-499.6762,0,
140,8,0,464.45215,242.41881,-634.90076,0,
141,8,0,472.25845,242.41881,-510.03946,0,
142,8,0,232.42426,242.41881,-597.7571,0,
143,8,0,172.15858,242.41881,-520.8206,0,
144,8,0,355.82965,242.41881,-624.1173,0,
145,8,0,275.47122,242.41881,-669.7057,0,
146,8,0,273.2229,242.41881,-484.47382,0,
147,8,0,129.32185,242.41881,-297.8068,0,
148,8,0,36.652435,242.41881,-145.26624,0,
149,8,0,209.09903,242.41881,-263.5262,0,
150,8,0,-13.274338,242.41881,-62.97768,0,
151,8,0,33.45102,242.41881,-346.29242,0,
152,8,0,-224.68367,242.4188,-465.80142,0,
153,8,0,-236.83963,242.41881,-147.77414,0,
154,8,0,-56.6102,242.41881,-328.40082,0,
155,8,0,-104.7212,242.41881,-112.05482,0,
156,8,0,-120.56798,242.41881,14.505878,0,
157,8,0,-151.70493,242.41881,-263.8902,0,
158,8,0,-338.3154,242.41881,-180.95631,0,
159,8,0,-423.24088,242.41881,-285.29642,0,
160,8,0,-490.21027,242.4188,-400.95633,0,
161,8,0,-422.49094,242.41881,-527.9959,0,
162,8,0,-338.31796,242.4188,-528.29034,0,
163,8,0,-370.07416,242.41881,-71.15909,0,
164,8,0,-247.87646,242.41881,-768.61127,0,
165,8,0,-165.92778,242.41881,-769.3257,0,
166,8,0,-167.6727,242.4188,-660.6982,0,
167,8,0,-289.182,242.41881,-633.1076,0,
168,8,0,-18.466555,242.4188,-625.65875,0,
169,8,0,78.87493,242.41881,-413.28174,0,
170,8,0,22.198029,242.41881,-497.25122,0,
171,8,0,-154.1085,242.4188,-549.3853,0,
172,8,0,-70.4738,242.4188,-443.01456,0,
173,8,0,113.53194,242.41881,-502.26544,0,
174,8,0,-286.35922,242.41881,-400.63205,0,
175,8,0,-228.34772,242.41881,-605.5774,0,
176,8,0,-616.25867,331.85648,-18.500317,0,
177,8,0,-749.7761,331.85648,-82.02611,0,
178,8,0,-515.27423,331.85648,101.42685,0,
179,8,0,-870.97473,331.85645,-95.122604,0,
180,8,0,-919.2579,331.85645,6.171219,0,
181,8,0,-509.90625,331.85645,221.27847,0,
182,8,0,-737.528,331.85645,313.48132,0,
183,8,0,-982.89746,331.85645,88.411156,0,
184,8,0,-813.30743,331.85645,180.8216,0,
185,8,0,-1038.3275,331.85645,205.9537,0,
186,8,0,-1090.0808,331.85645,259.00403,0,
187,8,0,-1006.3759,331.85645,320.9577,0,
188,8,0,-399.8277,331.85645,332.07114,0,
189,8,0,-715.22504,331.85648,468.53488,0,
190,8,0,-841.0708,331.85645,357.5137,0,
191,8,0,-538.01697,331.85645,446.24585,0,
192,8,0,-626.2489,331.85645,363.7425,0,
193,8,0,-607.1476,331.85645,530.2226,0,
194,8,0,-437.4231,331.85645,602.602,0,
195,8,0,-416.6953,331.85645,458.51337,0,
196,8,0,550.18286,242.41881,-405.81866,0,
