ClassID,GenType,PosX,PosY,PosZ,Direction,AnchorRange,Name
1,1,2224,133,1573,90,1,우키스 경작지
3,3,-1358,-5,-1360,1,0,다이나 양봉지
4,4,1052.3514,134.3088,838.34644,0,0,츄파루카
6,6,1190.5378,134.3088,1054.5645,0,0,스피온
7,7,-568.39813,134.3088,488.61328,-90,0,마라스
8,8,-651.4182,134.3088,478.42456,-45,0,발다
9,9,777.24225,54.1763,-647.75,180,0,비치우 제단
10,10,358,25,1513,1,0,가우데지 제단
11,11,1878.7825,134.3088,856.3567,1,0,라마르
12,12,1902.0684,134.3088,604.4552,1,0,리스
13,13,1502.1531,24.3135,1573.5583,0,0,밭
14,13,1520.3374,24.3135,1502.0585,0,0,밭
15,13,1691.7467,24.3135,1474.4979,0,0,밭
16,13,1686.2554,24.3135,1547.9502,0,0,밭
19,14,-409.0077,196.7332,1778.2317,-90,0,달콤한 향이 나는 벌통
20,14,-601.8929,196.7332,1483.2081,-45,0,달콤한 향이 나는 벌통
21,14,-99.319916,196.7332,1636.911,-125,0,달콤한 향이 나는 벌통
22,14,-243.53271,196.7332,1387.9738,90,0,달콤한 향이 나는 벌통
23,15,3588,211,1212,1,0,농기구가 든 배낭
24,16,-654.2441,134.3088,330.71045,1,0,덴
25,17,-420.97983,134.3088,409.58005,180,0,렌조
26,4,1264.847,134.3088,1015.0364,0,0,츄파루카
27,4,1023.8892,134.3088,1018.395,0,0,츄파루카
28,4,1450.3419,134.3088,913.85944,0,0,츄파루카
34,4,393.11484,24.3135,1493.8373,0,0,츄파루카
36,4,670.4385,24.3135,1476.974,0,0,츄파루카
37,4,447.30545,134.3088,1061.9211,0,0,츄파루카
38,4,353.52466,134.3088,891.7881,0,0,츄파루카
39,4,192.14935,134.3088,1138.5175,0,0,츄파루카
40,4,46.95866,134.3088,1007.3077,0,0,츄파루카
41,18,-590.2243,134.3088,-230.47626,0,0,샤울렘 전사
42,18,-870.1729,134.3088,-301.3571,0,0,샤울렘 전사
43,18,-884.2322,134.3088,-628.2513,0,0,샤울렘 전사
44,18,-1825.2335,-4.5073,-1412.5355,0,0,샤울렘 전사
45,18,-508.32495,134.3088,-662.9791,0,0,샤울렘 전사
46,18,-435.4803,134.3088,-403.00565,0,0,샤울렘 전사
47,18,-1656.562,57.8125,-461.45587,0,0,샤울렘 전사
48,18,-1978.468,20.537832,-1085.7632,0,0,샤울렘 전사
