ClassID,UnlockArgNum,MaxLevel,Price1,Time1,Price2,Time2,Price3,Time3,Price4,Time4,Price5,Time5,Price6,Time6,Price7,Time7,Price8,Time8,Price9,Time9,Price10,Time10,ClassName,UnlockScr,UnlockArgStr,UnlockDesc,ScrCalcPrice
301,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chronomancer4,UNLOCK_BASE_LEVEL,,캐릭터 300레벨 이상,ABIL_COMMON_PRICE_300LV
302,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chronomancer10,UNLOCK_BASE_LEVEL,,캐릭터 200레벨 이상,ABIL_COMMON_PRICE_200LV
601,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chronomancer20,UNLOCK_ABIL_SKILL,Chronomancer_TimeForward,타임 포워드 1레벨 이상,ABIL_REINFORCE_PRICE
701,200,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chronomancer15,UNLOCK_BASE_LEVEL,,캐릭터 200레벨 이상,ABIL_COMMON_PRICE_200LV
801,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chronomancer22,UNLOCK_ABIL_SKILL,Chronomancer_TimeEruption,타임 이럽션 1레벨 이상,ABIL_REINFORCE_PRICE
802,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chronomancer24,UNLOCK_BASE_LEVEL,,캐릭터 200레벨 이상,ABIL_COMMON_PRICE_200LV
901,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chronomancer25,UNLOCK_BASE_LEVEL,,캐릭터 100레벨 이상,ABIL_COMMON_PRICE_100LV
902,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chronomancer26,UNLOCK_ABIL_SKILL,Chronomancer_TimeRestriction,타임 이럽션 1레벨 이상,ABIL_REINFORCE_PRICE
1203,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chronomancer19,UNLOCK_ABIL_JOB_LEVEL,Char2_8,크로노맨서 클래스 45레벨 달성,HIDDENABIL_PRICE_COND_JOBLEVEL
1101,65,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chronomancer21,UNLOCK_ABIL_OTHERABILITY,Chronomancer20,[타임 포워드: 강화] 특성 65 레벨 달성,HIDDENABIL_PRICE_COND_REINFORCE
1102,65,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chronomancer23,UNLOCK_ABIL_OTHERABILITY,Chronomancer22,[타임 이럽션: 강화] 특성 65 레벨 달성,HIDDENABIL_PRICE_COND_REINFORCE
1103,65,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chronomancer27,UNLOCK_ABIL_OTHERABILITY,Chronomancer26,[타임 리스트립션: 강화] 특성 65 레벨 달성,HIDDENABIL_PRICE_COND_REINFORCE
